Match,Date,Teams,Ground,Result
7,15/04/2021,Delhi Capitals v Rajasthan Royals,Mumbai,Rajasthan Royals won by 3 Wickets
8,16/04/2021,Chennai Super Kings v Punjab Kings,Mumbai,Chennai Super Kings won by 6 Wickets
9,17/04/2021,Mumbai Indians v Sunrisers Hyderabad,Chennai,Mumbai Indians won by 13 Runs
10,18/04/2021,Kolkata Knight Riders v Royal Challengers Bangalore,Chennai,Royal Challengers Bangalore won by 38 Runs
11,18/04/2021,Delhi Capitals v Punjab Kings,Mumbai,Delhi Capitals won by 6 Wickets
12,19/04/2021,Chennai Super Kings v Rajasthan Royals,Mumbai,Chennai Super Kings won by 45 Runs
13,20/04/2021,Delhi Capitals v Mumbai Indians,Chennai,Delhi Capitals won by 6 Wickets
14,21/04/2021,Punjab Kings v Sunrisers Hyderabad,Chennai,Sunrisers Hyderabad won by 9 Wickets
15,21/04/2021,Chennai Super Kings v Kolkata Knight Riders,Mumbai,Chennai Super Kings won by 18 Runs
16,22/04/2021,Rajasthan Royals v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 10 Wickets
17,23/04/2021,Mumbai Indians v Punjab Kings,Chennai,Punjab Kings won by 9 Wickets
18,24/04/2021,Kolkata Knight Riders v Rajasthan Royals,Mumbai,Rajasthan Royals won by 6 Wickets
19,25/04/2021,Chennai Super Kings v Royal Challengers Bangalore,Mumbai,Chennai Super Kings won by 69 Runs
20,25/04/2021,Delhi Capitals v Sunrisers Hyderabad,Chennai,Match tied (Delhi Capitals won eliminator)
21,26/04/2021,Kolkata Knight Riders v Punjab Kings,Ahmedabad,Kolkata Knight Riders won by 5 Wickets
22,27/04/2021,Delhi Capitals v Royal Challengers Bangalore,Ahmedabad,Royal Challengers Bangalore won by 1 Run
23,28/04/2021,Chennai Super Kings v Sunrisers Hyderabad,Delhi,Chennai Super Kings won by 7 Wickets
24,29/04/2021,Mumbai Indians v Rajasthan Royals,Delhi,Mumbai Indians won by 7 Wickets
25,29/04/2021,Delhi Capitals v Kolkata Knight Riders,Ahmedabad,Delhi Capitals won by 7 Wickets
26,30/04/2021,Punjab Kings v Royal Challengers Bangalore,Ahmedabad,Punjab Kings won by 34 Runs
27,01/05/2021,Chennai Super Kings v Mumbai Indians,Delhi,Mumbai Indians won by 4 Wickets
28,02/05/2021,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 55 Runs
29,02/05/2021,Delhi Capitals v Punjab Kings,Ahmedabad,Delhi Capitals won by 7 Wickets
30,19/09/2021,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 20 Runs
31,20/09/2021,Kolkata Knight Riders v Royal Challengers Bangalore,Abu Dhabi,Kolkata Knight Riders won by 9 Wickets
32,21/09/2021,Punjab Kings v Rajasthan Royals,Dubai,Rajasthan Royals won by 2 Runs
33,22/09/2021,Delhi Capitals v Sunrisers Hyderabad,Dubai,Delhi Capitals won by 8 Wickets
34,23/09/2021,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 7 Wickets
35,24/09/2021,Chennai Super Kings v Royal Challengers Bangalore,Sharjah,Chennai Super Kings won by 6 Wickets
36,25/09/2021,Delhi Capitals v Rajasthan Royals,Abu Dhabi,Delhi Capitals won by 33 Runs
37,25/09/2021,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 5 Runs
38,26/09/2021,Chennai Super Kings v Kolkata Knight Riders,Abu Dhabi,Chennai Super Kings won by 2 Wickets
39,26/09/2021,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 54 Runs
40,27/09/2021,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 7 Wickets
41,28/09/2021,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets
