Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
27,2014-05-06,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 19 Runs,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,19 Runs,Lost
28,2014-05-07,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 8 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
29,2014-05-07,Punjab Kings v Chennai Super Kings,Cuttack,Punjab Kings won by 44 Runs,Punjab Kings,Chennai Super Kings,Punjab Kings,44 Runs,Lost
30,2014-05-08,Sunrisers Hyderabad v Rajasthan Royals,Ahmedabad,Sunrisers Hyderabad won by 32 Runs,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,32 Runs,Lost
31,2014-05-09,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 32 Runs,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,32 Runs,Lost
32,2014-05-10,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 8 Wickets [D/L],Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets [D/L],Won
33,2014-05-10,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 4 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
34,2014-05-11,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 9 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,9 Wickets,Won
35,2014-05-11,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 5 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,5 Wickets,Won
36,2014-05-12,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,7 Wickets,Won
37,2014-05-13,Chennai Super Kings v Rajasthan Royals,Ranchi,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5 Wickets,Won
38,2014-05-13,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Royal Challengers Bangalore won by 16 Runs,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,16 Runs,Lost
39,2014-05-14,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Punjab Kings won by 6 Wickets,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,6 Wickets,Won
40,2014-05-14,Kolkata Knight Riders v Mumbai Indians,Cuttack,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,6 Wickets,Won
41,2014-05-15,Rajasthan Royals v Delhi Capitals,Ahmedabad,Rajasthan Royals won by 62 Runs,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,62 Runs,Lost
42,2014-05-18,Chennai Super Kings v Royal Challengers Bangalore,Ranchi,Royal Challengers Bangalore won by 5 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
43,2014-05-18,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 7 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
44,2014-05-19,Rajasthan Royals v Mumbai Indians,Ahmedabad,Mumbai Indians won by 25 Runs,Rajasthan Royals,Mumbai Indians,Mumbai Indians,25 Runs,Lost
45,2014-05-19,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 4 Wickets,Delhi Capitals,Punjab Kings,Punjab Kings,4 Wickets,Won
46,2014-05-20,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,7 Wickets,Won
47,2014-05-20,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,8 Wickets,Won
