Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
277,2012-04-23,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Royal Challengers Bangalore won by 46 Runs,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,46 Runs,Lost
278,2012-04-24,Pune Warriors v Delhi Capitals,Pune,Delhi Capitals won by 8 Wickets,Pune Warriors,Delhi Capitals,Delhi Capitals,8 Wickets,Won
279,2012-04-25,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 4 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,4 Wickets,Won
280,2012-04-26,Pune Warriors v Deccan Chargers,Pune,Deccan Chargers won by 18 Runs,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,18 Runs,Lost
281,2012-04-27,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 37 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,37 Runs,Lost
282,2012-04-28,Chennai Super Kings v Punjab Kings,Chennai,Punjab Kings won by 7 Runs,Chennai Super Kings,Punjab Kings,Punjab Kings,7 Runs,Lost
283,2012-04-28,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 47 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,47 Runs,Lost
284,2012-04-29,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 1 Run,Delhi Capitals,Rajasthan Royals,Delhi Capitals,1 Run,Won
285,2012-04-29,Mumbai Indians v Deccan Chargers,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,5 Wickets,Won
286,2012-04-30,Chennai Super Kings v Kolkata Knight Riders,Chennai,Kolkata Knight Riders won by 5 Wickets,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
287,2012-05-01,Deccan Chargers v Pune Warriors,Cuttack,Deccan Chargers won by 13 Runs,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,13 Runs,Lost
288,2012-05-01,Rajasthan Royals v Delhi Capitals,Jaipur,Delhi Capitals won by 6 Wickets,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6 Wickets,Won
289,2012-05-02,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 4 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,4 Wickets,Won
290,2012-05-03,Pune Warriors v Mumbai Indians,Pune,Mumbai Indians won by 1 Run,Pune Warriors,Mumbai Indians,Mumbai Indians,1 Run,Won
291,2012-05-04,Chennai Super Kings v Deccan Chargers,Chennai,Chennai Super Kings won by 10 Runs,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,10 Runs,Lost
292,2012-05-05,Kolkata Knight Riders v Pune Warriors,Kolkata,Kolkata Knight Riders won by 7 Runs,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,7 Runs,Lost
293,2012-05-05,Punjab Kings v Rajasthan Royals,Mohali,Rajasthan Royals won by 43 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,43 Runs,Lost
294,2012-05-06,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 2 Wickets,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2 Wickets,Won
295,2012-05-06,Royal Challengers Bangalore v Deccan Chargers,Bengaluru,Royal Challengers Bangalore won by 5 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,5 Wickets,Won
296,2012-05-07,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 6 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
297,2012-05-08,Pune Warriors v Rajasthan Royals,Pune,Rajasthan Royals won by 7 Wickets,Pune Warriors,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
298,2012-05-08,Deccan Chargers v Punjab Kings,Hyderabad,Punjab Kings won by 25 Runs,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,25 Runs,Lost
299,2012-05-09,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 9 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,9 Wickets,Won
300,2012-05-10,Deccan Chargers v Delhi Capitals,Hyderabad,Delhi Capitals won by 9 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,9 Wickets,Won
301,2012-05-10,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
302,2012-05-11,Pune Warriors v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 35 Runs,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,35 Runs,Lost
303,2012-05-12,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 27 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,27 Runs,Lost
304,2012-05-12,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 9 Wickets,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,9 Wickets,Won
305,2012-05-13,Rajasthan Royals v Pune Warriors,Jaipur,Rajasthan Royals won by 45 Runs,Rajasthan Royals,Pune Warriors,Rajasthan Royals,45 Runs,Lost
306,2012-05-13,Punjab Kings v Deccan Chargers,Mohali,Punjab Kings won by 4 Wickets,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,4 Wickets,Won
307,2012-05-14,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 5 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,5 Wickets,Won
308,2012-05-14,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
309,2012-05-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 5 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,5 Wickets,Won
310,2012-05-16,Mumbai Indians v Kolkata Knight Riders,Mumbai,Kolkata Knight Riders won by 32 Runs,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,32 Runs,Lost
311,2012-05-17,Punjab Kings v Chennai Super Kings,Dharamsala,Punjab Kings won by 6 Wickets,Punjab Kings,Chennai Super Kings,Punjab Kings,6 Wickets,Won
312,2012-05-17,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 21 Runs,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,21 Runs,Lost
313,2012-05-18,Deccan Chargers v Rajasthan Royals,Hyderabad,Deccan Chargers won by 5 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,5 Wickets,Won
314,2012-05-19,Punjab Kings v Delhi Capitals,Dharamsala,Delhi Capitals won by 6 Wickets,Punjab Kings,Delhi Capitals,Delhi Capitals,6 Wickets,Won
315,2012-05-19,Pune Warriors v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 34 Runs,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,34 Runs,Lost
316,2012-05-20,Deccan Chargers v Royal Challengers Bangalore,Hyderabad,Deccan Chargers won by 9 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,9 Runs,Lost
317,2012-05-20,Rajasthan Royals v Mumbai Indians,Jaipur,Mumbai Indians won by 10 Wickets,Rajasthan Royals,Mumbai Indians,Mumbai Indians,10 Wickets,Won
318,2012-05-22,Delhi Capitals v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 18 Runs,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,18 Runs,Lost
319,2012-05-23,Chennai Super Kings v Mumbai Indians,Bengaluru,Chennai Super Kings won by 3 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,3 Runs,Lost
320,2012-05-25,Delhi Capitals v Chennai Super Kings,Chennai,Chennai Super Kings won by 86 Runs,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,86 Runs,Lost
321,2012-05-27,Kolkata Knight Riders v Chennai Super Kings,Chennai,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,5 Wickets,Won
322,2013-04-03,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,6 Wickets,Won
323,2013-04-04,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Royal Challengers Bangalore won by 2 Runs,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2 Runs,Lost
324,2013-04-05,Sunrisers Hyderabad v Pune Warriors,Hyderabad,Sunrisers Hyderabad won by 22 Runs,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,22 Runs,Lost
325,2013-04-06,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 5 Runs,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,5 Runs,Lost
326,2013-04-06,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 9 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,9 Runs,Lost
327,2013-04-07,Pune Warriors v Punjab Kings,Pune,Punjab Kings won by 8 Wickets,Pune Warriors,Punjab Kings,Punjab Kings,8 Wickets,Won
328,2013-04-07,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Royal Challengers Bangalore won by tie,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,tie,Tie
329,2013-04-08,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Rajasthan Royals won by 19 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,19 Runs,Lost
330,2013-04-09,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 44 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,44 Runs,Lost
331,2013-04-09,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,7 Wickets,Won
332,2013-04-10,Punjab Kings v Chennai Super Kings,Mohali,Chennai Super Kings won by 10 Wickets,Punjab Kings,Chennai Super Kings,Chennai Super Kings,10 Wickets,Won
333,2013-04-11,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,8 Wickets,Won
334,2013-04-11,Pune Warriors v Rajasthan Royals,Pune,Pune Warriors won by 7 Wickets,Pune Warriors,Rajasthan Royals,Pune Warriors,7 Wickets,Won
335,2013-04-12,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 3 Wickets,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,3 Wickets,Won
336,2013-04-13,Mumbai Indians v Pune Warriors,Mumbai,Mumbai Indians won by 41 Runs,Mumbai Indians,Pune Warriors,Mumbai Indians,41 Runs,Lost
337,2013-04-13,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 4 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,4 Wickets,Won
