Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
521,2016-04-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 8 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,8 Wickets,Won
522,2016-04-16,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 8 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
523,2016-04-16,Mumbai Indians v Gujarat Lions,Mumbai,Gujarat Lions won by 3 Wickets,Mumbai Indians,Gujarat Lions,Gujarat Lions,3 Wickets,Won
524,2016-04-17,Punjab Kings v Rising Pune Supergiant,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Pune Warriors,Punjab Kings,6 Wickets,Won
525,2016-04-17,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by 7 Wickets,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,7 Wickets,Won
526,2016-04-18,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7 Wickets,Won
527,2016-04-19,Punjab Kings v Kolkata Knight Riders,Mohali,Kolkata Knight Riders won by 7 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
528,2016-04-20,Mumbai Indians v Royal Challengers Bangalore,Cuttack,Mumbai Indians won by 6 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,6 Wickets,Won
529,2016-04-21,Gujarat Lions v Sunrisers Hyderabad,Khandheri,Sunrisers Hyderabad won by 10 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,10 Wickets,Won
530,2016-04-22,Rising Pune Supergiant v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 13 Runs,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,13 Runs,Lost
531,2016-04-23,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 10 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,10 Runs,Lost
532,2016-04-23,Punjab Kings v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,5 Wickets,Won
533,2016-04-24,Gujarat Lions v Royal Challengers Bangalore,Khandheri,Gujarat Lions won by 6 Wickets,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,6 Wickets,Won
534,2016-04-24,Rising Pune Supergiant v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 2 Wickets,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,2 Wickets,Won
535,2016-04-25,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 25 Runs,Punjab Kings,Mumbai Indians,Mumbai Indians,25 Runs,Lost
536,2016-04-26,Sunrisers Hyderabad v Rising Pune Supergiant,Hyderabad,Rising Pune Supergiant won by 34 Runs [D/L],Sunrisers Hyderabad,Pune Warriors,Pune Warriors,34 Runs [D/L],Lost
537,2016-04-27,Delhi Capitals v Gujarat Lions,Delhi,Gujarat Lions won by 1 Run,Delhi Capitals,Gujarat Lions,Gujarat Lions,1 Run,Won
538,2016-04-28,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 6 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6 Wickets,Won
539,2016-04-29,Rising Pune Supergiant v Gujarat Lions,Pune,Gujarat Lions won by 3 Wickets,Pune Warriors,Gujarat Lions,Gujarat Lions,3 Wickets,Won
540,2016-04-30,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 27 Runs,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,27 Runs,Lost
541,2016-04-30,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 15 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,15 Runs,Lost
542,2016-05-01,Gujarat Lions v Punjab Kings,Khandheri,Punjab Kings won by 23 Runs,Gujarat Lions,Punjab Kings,Punjab Kings,23 Runs,Lost
543,2016-05-01,Rising Pune Supergiant v Mumbai Indians,Pune,Mumbai Indians won by 8 Wickets,Pune Warriors,Mumbai Indians,Mumbai Indians,8 Wickets,Won
544,2016-05-02,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 5 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
545,2016-05-03,Gujarat Lions v Delhi Capitals,Khandheri,Delhi Capitals won by 8 Wickets,Gujarat Lions,Delhi Capitals,Delhi Capitals,8 Wickets,Won
546,2016-05-04,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 7 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,7 Runs,Lost
547,2016-05-05,Delhi Capitals v Rising Pune Supergiant,Delhi,Rising Pune Supergiant won by 7 Wickets,Delhi Capitals,Pune Warriors,Pune Warriors,7 Wickets,Won
548,2016-05-06,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,5 Wickets,Won
549,2016-05-07,Royal Challengers Bangalore v Rising Pune Supergiant,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,7 Wickets,Won
550,2016-05-07,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 9 Runs,Punjab Kings,Delhi Capitals,Punjab Kings,9 Runs,Lost
551,2016-05-08,Mumbai Indians v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 85 Runs,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,85 Runs,Lost
552,2016-05-08,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 5 Wickets,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,5 Wickets,Won
553,2016-05-09,Punjab Kings v Royal Challengers Bangalore,Mohali,Royal Challengers Bangalore won by 1 Run,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,1 Run,Won
554,2016-05-10,Rising Pune Supergiant v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 4 Runs,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,4 Runs,Lost
555,2016-05-11,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 6 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,6 Wickets,Won
556,2016-05-12,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Delhi Capitals won by 7 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,7 Wickets,Won
557,2016-05-13,Mumbai Indians v Punjab Kings,Visakhapatnam,Punjab Kings won by 7 Wickets,Mumbai Indians,Punjab Kings,Punjab Kings,7 Wickets,Won
558,2016-05-14,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Royal Challengers Bangalore won by 144 Runs,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,144 Runs,Lost
559,2016-05-14,Kolkata Knight Riders v Rising Pune Supergiant,Kolkata,Kolkata Knight Riders won by 8 Wickets [D/L],Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,8 Wickets [D/L],Won
560,2016-05-15,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 7 Wickets,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
561,2016-05-15,Mumbai Indians v Delhi Capitals,Visakhapatnam,Mumbai Indians won by 80 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,80 Runs,Lost
562,2016-05-16,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 9 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9 Wickets,Won
563,2016-05-17,Rising Pune Supergiant v Delhi Capitals,Visakhapatnam,Rising Pune Supergiant won by 19 Runs [D/L],Pune Warriors,Delhi Capitals,Pune Warriors,19 Runs [D/L],Lost
564,2016-05-18,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 82 Runs [D/L],Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,82 Runs [D/L],Lost
565,2016-05-19,Gujarat Lions v Kolkata Knight Riders,Kanpur,Gujarat Lions won by 6 Wickets,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,6 Wickets,Won
566,2016-05-20,Delhi Capitals v Sunrisers Hyderabad,Raipur,Delhi Capitals won by 6 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6 Wickets,Won
567,2016-05-21,Rising Pune Supergiant v Punjab Kings,Visakhapatnam,Rising Pune Supergiant won by 4 Wickets,Pune Warriors,Punjab Kings,Pune Warriors,4 Wickets,Won
568,2016-05-21,Gujarat Lions v Mumbai Indians,Kanpur,Gujarat Lions won by 6 Wickets,Gujarat Lions,Mumbai Indians,Gujarat Lions,6 Wickets,Won
569,2016-05-22,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 22 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,22 Runs,Lost
570,2016-05-22,Delhi Capitals v Royal Challengers Bangalore,Raipur,Royal Challengers Bangalore won by 6 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Wickets,Won
571,2016-05-24,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,4 Wickets,Won
572,2016-05-25,Sunrisers Hyderabad v Kolkata Knight Riders,Delhi,Sunrisers Hyderabad won by 22 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,22 Runs,Lost
573,2016-05-27,Gujarat Lions v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 4 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,4 Wickets,Won
574,2016-05-29,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Sunrisers Hyderabad won by 8 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Runs,Lost
575,2017-04-05,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 35 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35 Runs,Lost
576,2017-04-06,Rising Pune Supergiant v Mumbai Indians,Pune,Rising Pune Supergiant won by 7 Wickets,Pune Warriors,Mumbai Indians,Pune Warriors,7 Wickets,Won
577,2017-04-07,Gujarat Lions v Kolkata Knight Riders,Khandheri,Kolkata Knight Riders won by 10 Wickets,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,10 Wickets,Won
578,2017-04-08,Punjab Kings v Rising Pune Supergiant,Indore,Punjab Kings won by 6 Wickets,Punjab Kings,Pune Warriors,Punjab Kings,6 Wickets,Won
579,2017-04-08,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Royal Challengers Bangalore won by 15 Runs,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,15 Runs,Lost
580,2017-04-09,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 9 Wickets,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,9 Wickets,Won
581,2017-04-09,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 4 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4 Wickets,Won
582,2017-04-10,Punjab Kings v Royal Challengers Bangalore,Indore,Punjab Kings won by 8 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,8 Wickets,Won
583,2017-04-11,Rising Pune Supergiant v Delhi Capitals,Pune,Delhi Capitals won by 97 Runs,Pune Warriors,Delhi Capitals,Delhi Capitals,97 Runs,Lost
584,2017-04-12,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 4 Wickets,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,4 Wickets,Won
585,2017-04-13,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,8 Wickets,Won
586,2017-04-14,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 4 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4 Wickets,Won
587,2017-04-14,Gujarat Lions v Rising Pune Supergiant,Khandheri,Gujarat Lions won by 7 Wickets,Gujarat Lions,Pune Warriors,Gujarat Lions,7 Wickets,Won
588,2017-04-15,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 17 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,17 Runs,Lost
589,2017-04-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 51 Runs,Delhi Capitals,Punjab Kings,Delhi Capitals,51 Runs,Lost
590,2017-04-16,Mumbai Indians v Gujarat Lions,Mumbai,Mumbai Indians won by 6 Wickets,Mumbai Indians,Gujarat Lions,Mumbai Indians,6 Wickets,Won
591,2017-04-16,Royal Challengers Bangalore v Rising Pune Supergiant,Bengaluru,Rising Pune Supergiant won by 27 Runs,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,27 Runs,Lost
592,2017-04-17,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 4 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,4 Wickets,Won
593,2017-04-17,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5 Runs,Lost
594,2017-04-18,Gujarat Lions v Royal Challengers Bangalore,Khandheri,Royal Challengers Bangalore won by 21 Runs,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,21 Runs,Lost
595,2017-04-19,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 15 Runs,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,15 Runs,Lost
596,2017-04-20,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 8 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,8 Wickets,Won
597,2017-04-21,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 4 Wickets,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4 Wickets,Won
598,2017-04-22,Sunrisers Hyderabad v Rising Pune Supergiant,Pune,Rising Pune Supergiant won by 6 Wickets,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,6 Wickets,Won
599,2017-04-22,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 14 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,14 Runs,Lost
600,2017-04-22,Punjab Kings v Gujarat Lions,Khandheri,Punjab Kings won by 26 Runs,Punjab Kings,Gujarat Lions,Punjab Kings,26 Runs,Lost
601,2017-04-23,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 82 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,82 Runs,Lost
602,2017-04-24,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 3 Runs,Mumbai Indians,Pune Warriors,Pune Warriors,3 Runs,Lost
603,2017-04-26,Rising Pune Supergiant v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 7 Wickets,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
604,2017-04-27,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Gujarat Lions won by 7 Wickets,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,7 Wickets,Won
605,2017-04-28,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,7 Wickets,Won
606,2017-04-28,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 26 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,26 Runs,Lost
607,2017-04-29,Rising Pune Supergiant v Royal Challengers Bangalore,Pune,Rising Pune Supergiant won by 61 Runs,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,61 Runs,Lost
608,2017-04-29,Gujarat Lions v Mumbai Indians,Khandheri,Mumbai Indians won by tie,Gujarat Lions,Mumbai Indians,Mumbai Indians,tie,Tie
609,2017-04-30,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 10 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,10 Wickets,Won
610,2017-04-30,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 48 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,48 Runs,Lost
611,2017-05-01,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5 Wickets,Won
612,2017-05-01,Rising Pune Supergiant v Gujarat Lions,Pune,Rising Pune Supergiant won by 5 Wickets,Pune Warriors,Gujarat Lions,Pune Warriors,5 Wickets,Won
613,2017-05-02,Delhi Capitals v Sunrisers Hyderabad,Delhi,Delhi Capitals won by 6 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6 Wickets,Won
614,2017-05-03,Kolkata Knight Riders v Rising Pune Supergiant,Kolkata,Rising Pune Supergiant won by 4 Wickets,Kolkata Knight Riders,Pune Warriors,Pune Warriors,4 Wickets,Won
615,2017-05-04,Delhi Capitals v Gujarat Lions,Delhi,Delhi Capitals won by 7 Wickets,Delhi Capitals,Gujarat Lions,Delhi Capitals,7 Wickets,Won
616,2017-05-05,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 19 Runs,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,19 Runs,Lost
617,2017-05-06,Sunrisers Hyderabad v Rising Pune Supergiant,Hyderabad,Rising Pune Supergiant won by 12 Runs,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,12 Runs,Lost
618,2017-05-06,Delhi Capitals v Mumbai Indians,Cuttack,Mumbai Indians won by 146 Runs,Delhi Capitals,Mumbai Indians,Mumbai Indians,146 Runs,Lost
619,2017-05-07,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 6 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
620,2017-05-07,Punjab Kings v Gujarat Lions,Mohali,Gujarat Lions won by 6 Wickets,Punjab Kings,Gujarat Lions,Gujarat Lions,6 Wickets,Won
621,2017-05-08,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7 Wickets,Won
622,2017-05-09,Punjab Kings v Kolkata Knight Riders,Mohali,Punjab Kings won by 14 Runs,Punjab Kings,Kolkata Knight Riders,Punjab Kings,14 Runs,Lost
623,2017-05-10,Gujarat Lions v Delhi Capitals,Kanpur,Delhi Capitals won by 2 Wickets,Gujarat Lions,Delhi Capitals,Delhi Capitals,2 Wickets,Won
624,2017-05-11,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 7 Runs,Mumbai Indians,Punjab Kings,Punjab Kings,7 Runs,Lost
625,2017-05-12,Delhi Capitals v Rising Pune Supergiant,Delhi,Delhi Capitals won by 7 Runs,Delhi Capitals,Pune Warriors,Delhi Capitals,7 Runs,Lost
626,2017-05-13,Gujarat Lions v Sunrisers Hyderabad,Kanpur,Sunrisers Hyderabad won by 8 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets,Won
627,2017-05-13,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 9 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9 Runs,Lost
628,2017-05-14,Rising Pune Supergiant v Punjab Kings,Pune,Rising Pune Supergiant won by 9 Wickets,Pune Warriors,Punjab Kings,Pune Warriors,9 Wickets,Won
629,2017-05-14,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 10 Runs,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Runs,Lost
630,2017-05-16,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 20 Runs,Mumbai Indians,Pune Warriors,Pune Warriors,20 Runs,Lost
631,2017-05-17,Sunrisers Hyderabad v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 7 Wickets [D/L],Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets [D/L],Won
632,2017-05-19,Mumbai Indians v Kolkata Knight Riders,Bengaluru,Mumbai Indians won by 6 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6 Wickets,Won
633,2017-05-21,Mumbai Indians v Rising Pune Supergiant,Hyderabad,Mumbai Indians won by 1 Run,Mumbai Indians,Pune Warriors,Mumbai Indians,1 Run,Won
634,2018-04-07,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 1 Wicket,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,1 Wicket,Won
635,2018-04-08,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,6 Wickets,Won
636,2018-04-08,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 4 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,4 Wickets,Won
637,2018-04-09,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 9 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,9 Wickets,Won
638,2018-04-10,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,5 Wickets,Won
639,2018-04-11,Rajasthan Royals v Delhi Capitals,Jaipur,Rajasthan Royals won by 10 Runs [D/L],Rajasthan Royals,Delhi Capitals,Rajasthan Royals,10 Runs [D/L],Lost
640,2018-04-12,Mumbai Indians v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 1 Wicket,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,1 Wicket,Won
641,2018-04-13,Punjab Kings v Royal Challengers Bangalore,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,4 Wickets,Won
642,2018-04-14,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad won by 5 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,5 Wickets,Won
643,2018-04-14,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 7 Wickets,Mumbai Indians,Delhi Capitals,Delhi Capitals,7 Wickets,Won
644,2018-04-15,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 19 Runs,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,19 Runs,Lost
645,2018-04-15,Punjab Kings v Chennai Super Kings,Mohali,Punjab Kings won by 4 Runs,Punjab Kings,Chennai Super Kings,Punjab Kings,4 Runs,Lost
646,2018-04-16,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 71 Runs,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,71 Runs,Lost
647,2018-04-17,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 46 Runs,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,46 Runs,Lost
648,2018-04-18,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 7 Wickets,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
649,2018-04-19,Punjab Kings v Sunrisers Hyderabad,Mohali,Punjab Kings won by 15 Runs,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,15 Runs,Lost
650,2018-04-20,Rajasthan Royals v Chennai Super Kings,Pune,Chennai Super Kings won by 64 Runs,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,64 Runs,Lost
651,2018-04-21,Kolkata Knight Riders v Punjab Kings,Kolkata,Punjab Kings won by 9 Wickets [D/L],Kolkata Knight Riders,Punjab Kings,Punjab Kings,9 Wickets [D/L],Won
652,2018-04-21,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Royal Challengers Bangalore won by 6 Wickets,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,6 Wickets,Won
653,2018-04-22,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Chennai Super Kings won by 4 Runs,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,4 Runs,Lost
654,2018-04-22,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 3 Wickets,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,3 Wickets,Won
655,2018-04-23,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 4 Runs,Delhi Capitals,Punjab Kings,Punjab Kings,4 Runs,Lost
656,2018-04-24,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 31 Runs,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,31 Runs,Lost
657,2018-04-25,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 5 Wickets,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
658,2018-04-26,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 13 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,13 Runs,Lost
659,2018-04-27,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 55 Runs,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,55 Runs,Lost
660,2018-04-28,Chennai Super Kings v Mumbai Indians,Pune,Mumbai Indians won by 8 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,8 Wickets,Won
661,2018-04-29,Rajasthan Royals v Sunrisers Hyderabad,Jaipur,Sunrisers Hyderabad won by 11 Runs,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,11 Runs,Lost
662,2018-04-29,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 6 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
663,2018-04-30,Chennai Super Kings v Delhi Capitals,Pune,Chennai Super Kings won by 13 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,13 Runs,Lost
664,2018-05-01,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Royal Challengers Bangalore won by 14 Runs,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,14 Runs,Lost
