Match,Date,Ground,Team1,Team2,Winner,Win by,Opponent,Day,csk
781,2020-10-13,Dubai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,1st Batting,Sunrisers Hyderabad,Tuesday,1
786,2020-10-17,Sharjah,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chasing,Delhi Capitals,Saturday,0
789,2020-10-19,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chasing,Rajasthan Royals,Monday,0
793,2020-10-23,Sharjah,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chasing,Mumbai Indians,Friday,0
796,2020-10-25,Dubai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Sunday,1
801,2020-10-29,Dubai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chasing,Kolkata Knight Riders,Thursday,1
805,2020-11-01,Abu Dhabi,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chasing,Punjab Kings,Sunday,1
814,2021-04-10,Mumbai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chasing,Delhi Capitals,Saturday,0
820,2021-04-16,Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chasing,Punjab Kings,Friday,1
824,2021-04-19,Mumbai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,1st Batting,Rajasthan Royals,Monday,1
827,2021-04-21,Mumbai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Wednesday,1
831,2021-04-25,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,1st Batting,Royal Challengers Bangalore,Sunday,1
835,2021-04-28,Delhi,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Wednesday,1
839,2021-05-01,Delhi,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chasing,Mumbai Indians,Saturday,0
842,2021-09-19,Dubai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1st Batting,Mumbai Indians,Sunday,1
847,2021-09-24,Sharjah,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chasing,Royal Challengers Bangalore,Friday,1
850,2021-09-26,Abu Dhabi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chasing,Kolkata Knight Riders,Sunday,1
856,2021-09-30,Sharjah,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Thursday,1
859,2021-10-02,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chasing,Rajasthan Royals,Saturday,0
862,2021-10-04,Dubai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chasing,Delhi Capitals,Monday,0
865,2021-10-07,Dubai,Chennai Super Kings,Punjab Kings,Punjab Kings,Chasing,Punjab Kings,Thursday,0
869,2021-10-10,Dubai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chasing,Delhi Capitals,Sunday,1
872,2021-10-15,Dubai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1st Batting,Kolkata Knight Riders,Friday,1
